ticker,market,date,open,high,low,close,adj_close,volume,trading_value,data_source
RKLB,US,2025-06-02,8.31,8.43,8.21,8.33,8.33,12500000,104125000,sample
RKLB,US,2025-06-03,8.32,8.44,8.22,8.34,8.34,12625000,105292500,sample
RKLB,US,2025-06-04,8.34,8.45,8.24,8.35,8.35,12750000,106462500,sample
RKLB,US,2025-06-05,8.36,8.46,8.26,8.36,8.36,12875000,107635000,sample
RKLB,US,2025-06-06,8.38,8.48,8.27,8.37,8.37,13000000,108810000,sample
RKLB,US,2025-06-09,8.35,8.48,8.25,8.38,8.38,13125000,109987500,sample
RKLB,US,2025-06-10,8.37,8.49,8.27,8.39,8.39,13250000,111167500,sample
RKLB,US,2025-06-11,8.39,8.50,8.29,8.40,8.40,13375000,112350000,sample
RKLB,US,2025-06-12,8.41,8.51,8.31,8.41,8.41,13500000,113535000,sample
RKLB,US,2025-06-13,8.43,8.53,8.32,8.42,8.42,13625000,114722500,sample
RKLB,US,2025-06-16,8.40,8.53,8.30,8.43,8.43,13750000,115912500,sample
RKLB,US,2025-06-17,8.41,8.53,8.31,8.43,8.43,12500000,105375000,sample
RKLB,US,2025-06-18,8.43,8.54,8.33,8.44,8.44,12625000,106555000,sample
RKLB,US,2025-06-19,8.45,8.55,8.35,8.45,8.45,12750000,107737500,sample
RKLB,US,2025-06-20,8.47,8.57,8.36,8.46,8.46,12875000,108922500,sample
RKLB,US,2025-06-23,8.44,8.57,8.34,8.47,8.47,13000000,110110000,sample
RKLB,US,2025-06-24,8.46,8.58,8.36,8.48,8.48,13125000,111300000,sample
RKLB,US,2025-06-25,8.34,8.45,8.24,8.35,8.35,13250000,110637500,sample
RKLB,US,2025-06-26,8.36,8.46,8.26,8.36,8.36,13375000,111815000,sample
RKLB,US,2025-06-27,8.38,8.48,8.27,8.37,8.37,13500000,112995000,sample
RKLB,US,2025-06-30,8.34,8.47,8.24,8.37,8.37,13625000,114041250,sample
RKLB,US,2025-07-01,8.36,8.48,8.26,8.38,8.38,13750000,115225000,sample
RKLB,US,2025-07-02,8.38,8.49,8.28,8.39,8.39,12500000,104875000,sample
RKLB,US,2025-07-03,8.40,8.50,8.30,8.40,8.40,12625000,106050000,sample
RKLB,US,2025-07-04,8.42,8.52,8.31,8.41,8.41,12750000,107227500,sample
RKLB,US,2025-07-07,8.39,8.52,8.29,8.42,8.42,12875000,108407500,sample
RKLB,US,2025-07-08,8.41,8.53,8.31,8.43,8.43,13000000,109590000,sample
RKLB,US,2025-07-09,8.43,8.54,8.33,8.44,8.44,13125000,110775000,sample
RKLB,US,2025-07-10,8.45,8.55,8.35,8.45,8.45,13250000,111962500,sample
RKLB,US,2025-07-11,8.47,8.57,8.36,8.46,8.46,13375000,113152500,sample
RKLB,US,2025-07-14,8.44,8.57,8.34,8.47,8.47,13500000,114345000,sample
RKLB,US,2025-07-15,8.46,8.58,8.36,8.48,8.48,13625000,115540000,sample
RKLB,US,2025-07-16,8.48,8.59,8.38,8.49,8.49,13750000,116737500,sample
RKLB,US,2025-07-17,8.49,8.59,8.39,8.49,8.49,12500000,106125000,sample
RKLB,US,2025-07-18,8.37,8.47,8.26,8.36,8.36,12625000,105545000,sample
RKLB,US,2025-07-21,8.34,8.47,8.24,8.37,8.37,12750000,106717500,sample
RKLB,US,2025-07-22,8.36,8.48,8.26,8.38,8.38,12875000,107892500,sample
RKLB,US,2025-07-23,8.38,8.49,8.28,8.39,8.39,13000000,109070000,sample
RKLB,US,2025-07-24,8.40,8.50,8.30,8.40,8.40,13125000,110250000,sample
RKLB,US,2025-07-25,8.42,8.52,8.31,8.41,8.41,13250000,111432500,sample
RKLB,US,2025-07-28,8.39,8.52,8.29,8.42,8.42,13375000,112617500,sample
RKLB,US,2025-07-29,8.41,8.53,8.31,8.43,8.43,13500000,113805000,sample
RKLB,US,2025-07-30,8.43,8.54,8.33,8.44,8.44,13625000,114995000,sample
RKLB,US,2025-07-31,8.44,8.54,8.34,8.44,8.44,13750000,116050000,sample
RKLB,US,2025-08-01,8.46,8.56,8.35,8.45,8.45,12500000,105625000,sample
RKLB,US,2025-08-04,8.43,8.56,8.33,8.46,8.46,12625000,106807500,sample
RKLB,US,2025-08-05,8.45,8.57,8.35,8.47,8.47,12750000,107992500,sample
RKLB,US,2025-08-06,8.47,8.58,8.37,8.48,8.48,12875000,109180000,sample
RKLB,US,2025-08-07,8.49,8.59,8.39,8.49,8.49,13000000,110370000,sample
RKLB,US,2025-08-08,8.51,8.61,8.40,8.50,8.50,13125000,111562500,sample
RKLB,US,2025-08-11,8.48,8.61,8.38,8.51,8.51,13250000,112757500,sample
RKLB,US,2025-08-12,8.36,8.48,8.26,8.38,8.38,13375000,112082500,sample
RKLB,US,2025-08-13,8.37,8.48,8.27,8.38,8.38,13500000,113130000,sample
RKLB,US,2025-08-14,8.39,8.49,8.29,8.39,8.39,13625000,114313750,sample
RKLB,US,2025-08-15,8.41,8.51,8.30,8.40,8.40,13750000,115500000,sample
RKLB,US,2025-08-18,8.38,8.51,8.28,8.41,8.41,12500000,105125000,sample
RKLB,US,2025-08-19,8.40,8.52,8.30,8.42,8.42,12625000,106302500,sample
RKLB,US,2025-08-20,8.42,8.53,8.32,8.43,8.43,12750000,107482500,sample
RKLB,US,2025-08-21,8.44,8.54,8.34,8.44,8.44,12875000,108665000,sample
